sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
ssp1,0.46988,0.31656,0.267197,0.214689,NA,0.021514,0.601557,LMC0034,w
ssp1,0.496367,0.351902,0.25427,0.208923,0.336103,0.023217,0.657802,LMC0043,w
ssp1,0.520079,0.361179,0.248142,0.228032,0.320475,0.035541,0.628706,LMC0053,w
ssp1,0.531011,0.3672,0.253272,0.22612,0.359211,0.034866,NA,LMC0109,w
ssp1,0.475186,0.347258,0.259721,0.205181,0.313573,0.022293,0.60867,LMC0353,w
ssp1,0.458791,0.33346,0.229991,0.186306,0.301913,0.017148,0.598078,LMC0366,w
tbic,1.066239,0.818375,0.533942,0.423221,0.556114,0.200019,1.284007,LMC0010,w
tbic,1.010519,0.804144,0.528156,0.437102,0.572628,0.192114,1.15653,LMC0020,w
tbic,1.026316,0.825237,0.526056,0.444361,0.542972001,0.181234,1.32942,LMC0059,w
tbic,0.936621,0.76401,0.475417,0.434798,0.539908,0.172064,1.26848,LMC0075,w
tbic,1.219076,0.935107,0.608797001,0.500838,0.625599,0.214268,1.547745,LMC0164,w
tbic,1.054,0.855,0.517,0.487,0.564,0.204,NA,LMC0175,w
tbic,1.031,0.777,0.481999999,0.42,0.545,0.189,1.149,LMC0191,w
tbic,1.004,0.809,0.519,0.436,0.564,0.193,1.334,LMC0200,w
tbic,1.217,0.895999999,0.581,0.502,0.632,0.217,1.496,LMC0241,w
tbic,1.068,0.853,0.524,0.442999999,0.566,0.203,1.274,LMC0270,w
tlan,0.728913,0.688622,0.470253,0.343427,0.417068,0.154219,0.883126,LMC0003,w
tlan,0.742855,0.662948,0.483657,0.358922,0.362618,0.144168,0.896769,LMC0013,w
tlan,0.622071,0.60866,0.40615,0.320855,0.382703,0.141372,0.838624,LMC0071,w
tlan,0.690996,0.642639,0.449738,0.341673,0.435166,0.151532,0.87659,LMC0083,w
tlan,0.753117,0.704292,0.477439,0.366497,0.423151,0.160373,0.947049,LMC0158,w
